,Unnamed: 0,Code,Movie,Audience,Screen,genres,AgeRate,month,year,four_month,year_cat,Point,Top10배우,Age_Rate
0,0,20192193,도굴,565.469,1634,범죄,청소년관람가,11,2020,4,35,7.52,0,2
1,1,20197121,삼진그룹 영어토익반,1257.444,1080,드라마,청소년관람가,10,2020,4,35,8.73,0,2
2,2,20199816,담보,1702.2520000000004,407,드라마,청소년관람가,9,2020,4,35,8.9,1,2
3,3,20208508,미스터트롯: 더 무비,140.594,159,공연,전체관람가,10,2020,4,35,8.95,0,1
4,4,20194424,소리도 없이,401.759,126,범죄,청소년관람가,10,2020,4,35,6.39,0,2
5,5,20209304,다만 악에서 구하소서 파이널컷,34.205,78,액션,18세이상관람가,10,2020,4,35,7.84,1,0
6,6,20178401,검객,188.99,23,액션,청소년관람가,9,2020,4,35,8.35,1,2
7,7,20206588,극장판 미니특공대: 햄버거괴물의 습격,55.468,38,애니메이션,전체관람가,9,2020,4,35,8.49,0,1
9,9,20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100.725,53,공연,전체관람가,9,2020,4,35,9.38,0,1
10,10,20193666,오! 문희,350.99300000000005,20,코미디,청소년관람가,9,2020,4,35,8.02,0,2
11,11,20204684,브레이크 더 사일런스: 더 무비,131.69299999999998,66,다큐멘터리,전체관람가,9,2020,4,35,9.36,0,1
12,12,20190601,디바,107.48,6,스릴러,청소년관람가,9,2020,4,35,6.61,0,2
13,13,20196750,웰컴 투 X-월드,0.71,2,다큐멘터리,전체관람가,10,2020,4,35,8.4,0,1
14,14,20184482,국제수사,534.629,11,코미디,청소년관람가,9,2020,4,35,4.62,1,2
15,15,20190621,죽지않는 인간들의 밤,101.663,7,코미디,청소년관람가,9,2020,4,35,6.77,0,2
16,16,20206291,피원에이치 : 새로운 세계의 시작 ,1.912,21,드라마,청소년관람가,10,2020,4,35,5.46,0,2
17,17,20208045,강철비2 : 정상회담 확장판,17.918,48,드라마,청소년관람가,9,2020,4,35,5.01,0,2
18,18,20196271,강철비2: 정상회담,1789.78,9,드라마,청소년관람가,7,2020,3,35,5.04,0,2
19,19,20204643,다시 만난 날들,2.143,105,뮤지컬,청소년관람가,9,2020,4,35,9.38,0,2
20,20,20197922,다만 악에서 구하소서,4354.335999999998,37,범죄,청소년관람가,8,2020,3,35,7.71,1,2
21,21,20193450,반도,3811.81,6,액션,청소년관람가,7,2020,3,35,5.86,0,2
22,22,20205284,매지컬: 공주를 웃겨라,3.901,22,애니메이션,전체관람가,9,2020,4,35,6.1,0,1
23,23,20183813,결백,894.025,14,드라마,청소년관람가,6,2020,3,35,7.75,0,2
24,24,20199883,오케이 마담,1228.5510000000004,23,코미디,청소년관람가,8,2020,3,35,6.51,1,2
25,25,20206679,공포체험라디오 4DX,1.4680000000000002,36,공포(호러),청소년관람가,9,2020,4,35,3.35,0,2
27,27,20158482,동주,1176.644,1,드라마,청소년관람가,2,2016,1,31,9.39,0,2
28,28,20148846,사도,6247.739000000001,1,사극,청소년관람가,9,2015,4,30,8.21,1,2
29,29,20178982,박열,2359.775,1,드라마,청소년관람가,6,2017,3,32,8.08,0,2
30,30,20193069,#살아있다,1903.703,8,드라마,청소년관람가,6,2020,3,35,4.15,0,2
31,31,20193275,브링 더 소울 : 더 무비,337.593,33,기타,전체관람가,8,2019,3,34,9.16,0,1
32,32,20201785,태백권,1.476,60,코미디,청소년관람가,8,2020,3,35,5.3,0,2
33,33,20201841,부활,14.356,10,다큐멘터리,전체관람가,7,2020,3,35,8.49,0,1
34,34,20196201,소리꾼,80.984,4,사극,청소년관람가,7,2020,3,35,8.4,0,2
35,35,20200002,프리즈너,1.621,2,액션,청소년관람가,7,2020,3,35,3.09,0,2
37,37,20193859,사라진 시간,185.783,1,미스터리,청소년관람가,6,2020,3,35,4.38,1,2
38,38,20200846,부산행:익스텐디드,4.098,2,액션,청소년관람가,7,2020,3,35,8.6,1,2
39,39,20197863,침입자,531.969,20,미스터리,청소년관람가,6,2020,3,35,5.6,0,2
40,40,20170841,리틀 포레스트,1508.063,27,드라마,전체관람가,2,2018,1,33,8.78,0,1
41,41,20209021,런 보이 런,2.886,2,드라마,청소년관람가,5,2020,2,35,7.44,0,2
42,42,20198890,아이즈 온 미 : 더 무비,37.743,100,공연,전체관람가,6,2020,3,35,9.69,0,1
43,43,20209430,열혈형사,2.088,121,코미디,청소년관람가,6,2020,3,35,3.75,0,2
44,44,20207722,저 산 너머,103.412,6,드라마,청소년관람가,4,2020,2,35,8.14,0,2
