,Code,Movie,Audience,Screen,genres,year,month,AgeRate
0,20192193,도굴,565.469,1634,범죄,2015,10,청소년관람가
1,20197121,삼진그룹 영어토익반,1257.444,1080,드라마,2015,10,청소년관람가
2,20199816,담보,1702.252,407,드라마,2015,10,청소년관람가
3,20208508,미스터트롯: 더 무비,140.594,159,공연,2015,10,전체관람가
4,20194424,소리도 없이,401.759,126,범죄,2015,10,청소년관람가
5,20209304,다만 악에서 구하소서 파이널컷,34.205,78,액션,2015,10,18세이상관람가
6,20178401,검객,188.99,23,액션,2015,10,청소년관람가
7,20206588,극장판 미니특공대: 햄버거괴물의 습격,55.468,38,애니메이션,2015,10,전체관람가
8,20081003,박쥐,2208.279,1,공포(호러),2015,10,18세이상관람가
9,20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100.725,53,공연,2015,10,전체관람가
10,20193666,오! 문희,350.993,20,코미디,2015,10,청소년관람가
11,20204684,브레이크 더 사일런스: 더 무비,131.693,66,다큐멘터리,2015,10,전체관람가
12,20190601,디바,107.48,6,스릴러,2015,10,청소년관람가
13,20196750,웰컴 투 X-월드,0.71,2,다큐멘터리,2015,10,전체관람가
14,20184482,국제수사,534.629,11,코미디,2015,10,청소년관람가
15,20190621,죽지않는 인간들의 밤,101.663,7,코미디,2015,10,청소년관람가
16,20206291,피원에이치 : 새로운 세계의 시작 ,1.912,21,드라마,2015,10,청소년관람가
17,20208045,강철비2 : 정상회담 확장판,17.918,48,드라마,2015,10,청소년관람가
18,20196271,강철비2: 정상회담,1789.78,9,드라마,2015,10,청소년관람가
19,20204643,다시 만난 날들,2.143,105,뮤지컬,2015,10,청소년관람가
20,20197922,다만 악에서 구하소서,4354.336,37,범죄,2015,10,청소년관람가
21,20193450,반도,3811.81,6,액션,2015,10,청소년관람가
22,20205284,매지컬: 공주를 웃겨라,3.901,22,애니메이션,2015,10,전체관람가
23,20183813,결백,894.025,14,드라마,2015,10,청소년관람가
24,20199883,오케이 마담,1228.551,23,코미디,2015,10,청소년관람가
25,20206679,공포체험라디오 4DX,1.468,36,공포(호러),2015,10,청소년관람가
26,20050333,왕의 남자,10514.167,1,드라마,2015,10,청소년관람가
27,20158482,동주,1176.644,1,드라마,2015,10,청소년관람가
28,20148846,사도,6247.739,1,사극,2015,10,청소년관람가
29,20178982,박열,2359.775,1,드라마,2015,10,청소년관람가
30,20193069,#살아있다,1903.703,8,드라마,2015,10,청소년관람가
31,20193275,브링 더 소울 : 더 무비,337.593,33,기타,2015,10,전체관람가
32,20201785,태백권,1.476,60,코미디,2015,10,청소년관람가
33,20201841,부활,14.356,10,다큐멘터리,2015,10,전체관람가
34,20196201,소리꾼,80.984,4,사극,2015,10,청소년관람가
35,20200002,프리즈너,1.621,2,액션,2015,10,청소년관람가
36,20090557,호우시절,288.419,5,멜로/로맨스,2015,10,청소년관람가
37,20193859,사라진 시간,185.783,1,미스터리,2015,10,청소년관람가
