,Movie,Audience,Open,Screen,watchGradeNm,genres
20192193,도굴,565469,2020-11-04,1634,12세이상관람가,범죄
20197121,삼진그룹 영어토익반,1257444,2020-10-21,1080,12세이상관람가,드라마
20199816,담보,1702252,2020-09-29,407,12세이상관람가,드라마
20208508,미스터트롯: 더 무비,140594,2020-10-22,159,전체관람가,공연
20194424,소리도 없이,401759,2020-10-15,126,15세이상관람가,범죄
20209304,다만 악에서 구하소서 파이널컷,34205,2020-10-28,78,청소년관람불가,액션
20178401,검객,188990,2020-09-23,23,15세이상관람가,액션
20206588,극장판 미니특공대: 햄버거괴물의 습격,55468,2020-09-30,38,전체관람가,애니메이션
20207113,관전녀2,169,2020-11-06,20,청소년관람불가,멜로/로맨스
20081003,박쥐,2208279,2009-04-30,1,청소년관람불가,공포(호러)
20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100725,2020-09-29,53,전체관람가,공연
20193666,오! 문희,350993,2020-09-02,20,12세이상관람가,코미디
20204684,브레이크 더 사일런스: 더 무비,131693,2020-09-24,66,전체관람가,다큐멘터리
20190601,디바,107480,2020-09-23,6,15세이상관람가,스릴러
20196750,웰컴 투 X-월드,710,2020-10-29,2,전체관람가,다큐멘터리
20184482,국제수사,534629,2020-09-29,11,15세이상관람가,코미디
20190621,죽지않는 인간들의 밤,101663,2020-09-29,7,15세이상관람가,코미디
20206291,피원에이치 : 새로운 세계의 시작 ,1912,2020-10-08,21,15세이상관람가,드라마
20208045,강철비2 : 정상회담 확장판,17918,2020-09-30,48,15세이상관람가,드라마
20196271,강철비2: 정상회담,1789780,2020-07-29,9,15세이상관람가,드라마
20204643,다시 만난 날들,2143,2020-09-24,105,12세이상관람가,뮤지컬
20197922,다만 악에서 구하소서,4354336,2020-08-05,37,15세이상관람가,범죄
20193450,반도,3811810,2020-07-15,6,15세이상관람가,액션
20205284,매지컬: 공주를 웃겨라,3901,2020-09-17,22,전체관람가,애니메이션
20183813,결백,894025,2020-06-10,14,15세이상관람가,드라마
20199883,오케이 마담,1228551,2020-08-12,23,15세이상관람가,코미디
20206679,공포체험라디오 4DX,1468,2020-09-16,36,15세이상관람가,공포(호러)
20205226,인디애니페스트2020 새벽비행1,576, ,2,,애니메이션
20205227,인디애니페스트2020 새벽비행2,265, ,2,,애니메이션
20050333,왕의 남자,10514167,2005-12-29,1,15세이상관람가,드라마
20158482,동주,1176644,2016-02-17,1,12세이상관람가,드라마
20148846,사도,6247739,2015-09-16,1,12세이상관람가,사극
20178982,박열,2359775,2017-06-28,1,12세이상관람가,드라마
20206260,예쁜 여동생 2,60,2020-09-06,1,청소년관람불가,멜로/로맨스
20204095,오렌지필름 기획전 - 지금이 아닌 계절을 써요,22, ,1,,기타
20202904,마지막 사랑,20,2020-09-04,20,청소년관람불가,멜로/로맨스
20101044,사랑방 손님과 어머니,1511, ,1,,드라마
20193069,#살아있다,1903703,2020-06-24,8,15세이상관람가,드라마
20193275,브링 더 소울 : 더 무비,337593,2019-08-07,33,전체관람가,기타
20203785,DIFF2020 경쟁9,31, ,1,,기타
20203804,DIFF2020 대구단편 신작전 <딮하고 숏하게>,18, ,1,,기타
20201785,태백권,1476,2020-08-20,60,15세이상관람가,코미디
20203083,그녀의 모유는 백신,170,2020-08-21,20,청소년관람불가,성인물(에로)
20209907,코리안시네마 단편 1 - 제21회 전주국제영화제,197, ,1,,기타
20201841,부활,14356,2020-07-09,10,전체관람가,다큐멘터리
20209852,한국단편경쟁 3 - 제21회 전주국제영화제,120, ,1,,기타
20209853,한국단편경쟁 6 - 제21회 전주국제영화제,161, ,1,,기타
20200293,보라보라,175, ,1,,다큐멘터리
20209949,생각의 여름,76, ,1,,드라마
20204033,미쟝센 단편영화제 수상작 특별전 섹션 1,58, ,1,,기타
20209934,홈리스,87, ,1,,드라마
20198501,빛과 철,71, ,1,,드라마
20209903,한국단편경쟁 1 - 제21회 전주국제영화제,63, ,1,,기타
20203821,18 승하의 누워서 떡 먹기,60,2020-08-07,1,청소년관람불가,멜로/로맨스
20200244,주부남편의 발기찬 바깥생활,169,2020-07-31,20,청소년관람불가,성인물(에로)
20196201,소리꾼,80984,2020-07-01,4,12세이상관람가,사극
20202063,클리어 코로나 19 - 로드무비,77, ,1,,드라마
20200002,프리즈너,1621,2020-07-23,2,15세이상관람가,액션
20202286,인디포럼2020 신작전 단편1 : 재현불가,98, ,1,,기타
20090557,호우시절,288419,2009-10-08,5,15세이상관람가,멜로/로맨스
20202301,인디포럼2020 신작전 단편4 : 당신이 보지 못한 시간,45, ,1,,기타
20100509,피아골,887,1955-09-23,1,,드라마
20201801,오렌지필름 기획전 - 쓰-다.,47, ,1,,기타
20193859,사라진 시간,185783,2020-06-18,1,15세이상관람가,미스터리
20200846,부산행:익스텐디드,4098,2020-07-01,2,15세이상관람가,액션
20202646,[It's My turn!] 무서운 이야기-이선영 ,11, ,1,,공포(호러)
20197863,침입자,531969,2020-06-04,20,15세이상관람가,미스터리
20201828,불륜의 세계,169,2020-07-10,20,청소년관람불가,기타
20202458,가슴 큰 태희-무삭제판,60,2020-07-10,1,청소년관람불가,멜로/로맨스
20202083,클리어 코로나 19 - 19앤오버,20, ,3,,드라마
20170841,리틀 포레스트,1508063,2018-02-28,27,전체관람가,드라마
20201045,옆집소녀4,168,2020-07-03,19,청소년관람불가,멜로/로맨스
20209405,여배우들: 섹스 오디션,60,2020-07-03,1,청소년관람불가,성인물(에로)
