movie_result
,Unnamed: 0,Code,Movie,Audience,Open,Screen,watchGradeNm,genres,year,month,Point
0,0,20192193,도굴,565469,2020-11-04,1634,12세이상관람가,범죄,2020,11,7.52
1,1,20197121,삼진그룹 영어토익반,1257444,2020-10-21,1080,12세이상관람가,드라마,2020,10,8.73
2,2,20199816,담보,1702252,2020-09-29,407,12세이상관람가,드라마,2020,9,8.9
3,3,20208508,미스터트롯: 더 무비,140594,2020-10-22,159,전체관람가,공연,2020,10,8.95
4,4,20194424,소리도 없이,401759,2020-10-15,126,15세이상관람가,범죄,2020,10,6.39
5,5,20209304,다만 악에서 구하소서 파이널컷,34205,2020-10-28,78,청소년관람불가,액션,2020,10,7.84
6,6,20178401,검객,188990,2020-09-23,23,15세이상관람가,액션,2020,9,8.35
7,7,20206588,극장판 미니특공대: 햄버거괴물의 습격,55468,2020-09-30,38,전체관람가,애니메이션,2020,9,8.49
8,8,20081003,박쥐,2208279,2009-04-30,1,청소년관람불가,공포(호러),2009,4,6.09
9,9,20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",100725,2020-09-29,53,전체관람가,공연,2020,9,9.38
10,10,20193666,오! 문희,350993,2020-09-02,20,12세이상관람가,코미디,2020,9,8.02
11,11,20204684,브레이크 더 사일런스: 더 무비,131693,2020-09-24,66,전체관람가,다큐멘터리,2020,9,9.36
12,12,20190601,디바,107480,2020-09-23,6,15세이상관람가,스릴러,2020,9,6.61
13,13,20196750,웰컴 투 X-월드,710,2020-10-29,2,전체관람가,다큐멘터리,2020,10,8.4
14,14,20184482,국제수사,534629,2020-09-29,11,15세이상관람가,코미디,2020,9,4.62
15,15,20190621,죽지않는 인간들의 밤,101663,2020-09-29,7,15세이상관람가,코미디,2020,9,6.77
16,16,20206291,피원에이치 : 새로운 세계의 시작 ,1912,2020-10-08,21,15세이상관람가,드라마,2020,10,5.46
17,17,20208045,강철비2 : 정상회담 확장판,17918,2020-09-30,48,15세이상관람가,드라마,2020,9,5.01
18,18,20196271,강철비2: 정상회담,1789780,2020-07-29,9,15세이상관람가,드라마,2020,7,5.04
19,19,20204643,다시 만난 날들,2143,2020-09-24,105,12세이상관람가,뮤지컬,2020,9,9.38
20,20,20197922,다만 악에서 구하소서,4354336,2020-08-05,37,15세이상관람가,범죄,2020,8,7.71
21,21,20193450,반도,3811810,2020-07-15,6,15세이상관람가,액션,2020,7,5.86
22,22,20205284,매지컬: 공주를 웃겨라,3901,2020-09-17,22,전체관람가,애니메이션,2020,9,6.1
23,23,20183813,결백,894025,2020-06-10,14,15세이상관람가,드라마,2020,6,7.75
24,24,20199883,오케이 마담,1228551,2020-08-12,23,15세이상관람가,코미디,2020,8,6.51
25,25,20206679,공포체험라디오 4DX,1468,2020-09-16,36,15세이상관람가,공포(호러),2020,9,3.35
26,26,20050333,왕의 남자,10514167,2005-12-29,1,15세이상관람가,드라마,2005,12,9.04
27,27,20158482,동주,1176644,2016-02-17,1,12세이상관람가,드라마,2016,2,9.39
28,28,20148846,사도,6247739,2015-09-16,1,12세이상관람가,사극,2015,9,8.21
29,29,20178982,박열,2359775,2017-06-28,1,12세이상관람가,드라마,2017,6,8.08
30,30,20193069,#살아있다,1903703,2020-06-24,8,15세이상관람가,드라마,2020,6,4.15
31,31,20193275,브링 더 소울 : 더 무비,337593,2019-08-07,33,전체관람가,기타,2019,8,9.16
32,32,20201785,태백권,1476,2020-08-20,60,15세이상관람가,코미디,2020,8,5.3
33,33,20201841,부활,14356,2020-07-09,10,전체관람가,다큐멘터리,2020,7,8.49
34,34,20196201,소리꾼,80984,2020-07-01,4,12세이상관람가,사극,2020,7,8.4
35,35,20200002,프리즈너,1621,2020-07-23,2,15세이상관람가,액션,2020,7,3.09
36,36,20090557,호우시절,288419,2009-10-08,5,15세이상관람가,멜로/로맨스,2009,10,7.38
37,37,20193859,사라진 시간,185783,2020-06-18,1,15세이상관람가,미스터리,2020,6,4.38
38,38,20200846,부산행:익스텐디드,4098,2020-07-01,2,15세이상관람가,액션,2020,7,8.6
39,39,20197863,침입자,531969,2020-06-04,20,15세이상관람가,미스터리,2020,6,5.6
40,40,20170841,리틀 포레스트,1508063,2018-02-28,27,전체관람가,드라마,2018,2,8.78
41,42,20209021,런 보이 런,2886,2020-05-28,2,15세이상관람가,드라마,2020,5,7.44
42,43,20198890,아이즈 온 미 : 더 무비,37743,2020-06-10,100,전체관람가,공연,2020,6,9.69
43,44,20209430,열혈형사,2088,2020-06-18,121,12세이상관람가,코미디,2020,6,3.75
44,45,20207722,저 산 너머,103412,2020-04-30,6,12세이상관람가,드라마,2020,4,8.14
45,46,20010020,엽기적인 그녀,57,2001-07-26,1,15세관람가,코미디,2001,7,9.29
46,47,20193836,핑크퐁 시네마 콘서트 : 우주대탐험,17597,2020-01-30,1,전체관람가,애니메이션,2020,1,8.87
47,48,19970014,접속,1854,1997-09-13,1,고등학생이상관람가,멜로/로맨스,1997,9,8.69
48,49,20185881,증인,2534853,2019-02-13,1,12세이상관람가,드라마,2019,2,9.06
49,50,20129370,명량,17615685,2014-07-30,1,15세이상관람가,사극,2014,7,8.49
50,51,20183782,기생충,10313062,2019-05-30,4,15세이상관람가,드라마,2019,5,8.5
51,52,20180962,지푸라기라도 잡고 싶은 짐승들,627247,2020-02-19,6,청소년관람불가,스릴러,2020,2,7.01
52,53,20193321,정직한 후보,1536652,2020-02-12,3,12세이상관람가,코미디,2020,2,7.79
53,54,20126674,설국열차,9353332,2013-08-01,26,15세이상관람가,SF,2013,8,7.98
54,55,20124401,신세계,4688978,2013-02-21,20,청소년관람불가,범죄,2013,2,8.92
